"# BBC Backstage world weather locations, as of 2 Nov 2008",,,,,
"# city, country, latitude, longtitude, observation feed, forecast feed",,,,,
IPSWICH, UNITED KINGDOM,52.12,0.97,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/28.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/28.xml
MARGATE, UNITED KINGDOM,51.35,1.33,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/29.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/29.xml
EASTBOURNE, UNITED KINGDOM,50.9,0.32,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/30.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/30.xml
DUBLIN, IRELAND,53.43,-6.25,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/31.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/31.xml
OSLO, NORWAY,59.95,10.72,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/32.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/32.xml
STOCKHOLM, SWEDEN,59.37,17.9,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/33.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/33.xml
HELSINKI, FINLAND,60.32,24.97,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/34.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/34.xml
COPENHAGEN, DENMARK,55.77,12.53,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/35.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/35.xml
AMSTERDAM, NETHERLANDS,52.3,4.77,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/36.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/36.xml
BRUSSELS, BELGIUM,50.8,4.35,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/37.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/37.xml
LUXEMBOURG, LUXEMBOURG,49.62,6.22,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/38.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/38.xml
GENEVA, SWITZERLAND,46.25,6.13,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/39.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/39.xml
PARIS, FRANCE,48.72,2.38,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/40.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/40.xml
MARSEILLE, FRANCE,43.45,5.23,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/41.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/41.xml
BARCELONA, SPAIN,41.28,2.07,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/42.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/42.xml
MADRID, SPAIN,40.5,-3.58,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/43.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/43.xml
MAJORCA, SPAIN,39.55,2.73,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/44.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/44.xml
TENERIFE, SPAIN,28.05,-16.57,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/45.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/45.xml
GIBRALTAR, GIBRALTAR,36.15,-5.35,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/46.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/46.xml
FARO, PORTUGAL,37.02,-7.92,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/47.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/47.xml
LISBON, PORTUGAL,38.77,-9.13,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/48.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/48.xml
HAMBURG, GERMANY,53.63,9.98,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/49.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/49.xml
BERLIN, GERMANY,52.52,13.42,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/50.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/50.xml
BONN, GERMANY,50.73,7.2,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/51.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/51.xml
FRANKFURT, GERMANY,50.05,8.6,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/52.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/52.xml
MUNICH, GERMANY,48.17,11.55,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/53.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/53.xml
VIENNA, AUSTRIA,48.2,16.37,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/54.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/54.xml
PRAGUE, CZECH REPUBLIC,50.02,14.45,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/55.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/55.xml
WARSAW, POLAND,52.17,20.97,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/56.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/56.xml
ST PETERSBURG, RUSSIA,59.97,30.3,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/57.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/57.xml
MOSCOW, RUSSIA,55.83,37.62,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/58.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/58.xml
BUDAPEST, HUNGARY,47.43,19.18,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/59.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/59.xml
ZAGREB, CROATIA,45.82,15.98,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/60.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/60.xml
BELGRADE, SERBIA,44.8,20.47,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/61.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/61.xml
BUCHAREST, ROMANIA,44.42,26.1,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/62.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/62.xml
MILAN, ITALY,45.43,9.28,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/63.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/63.xml
VENICE, ITALY,45.5,12.33,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/64.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/64.xml
ROME, ITALY,41.8,12.23,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/65.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/65.xml
NAPLES, ITALY,40.85,14.3,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/66.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/66.xml
PALERMO, ITALY,38.1,13.3,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/67.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/67.xml
MALTA, MALTA,35.85,14.48,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/68.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/68.xml
CORFU, GREECE,39.62,19.92,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/69.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/69.xml
ATHENS, GREECE,37.9,23.73,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/70.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/70.xml
RHODES, GREECE,36.4,28.08,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/71.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/71.xml
AKROTIRI, CYPRUS,34.57,32.97,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/72.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/72.xml
ANKARA, TURKEY,40.12,32.98,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/73.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/73.xml
ISTANBUL, TURKEY,40.97,28.82,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/74.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/74.xml
TEL AVIV, ISRAEL,32,34.9,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/75.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/75.xml
KUWAIT, KUWAIT,29.22,47.98,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/76.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/76.xml
CASABLANCA, MOROCCO,33.57,-7.67,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/77.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/77.xml
ALGIERS, ALGERIA,36.77,3.1,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/78.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/78.xml
TUNIS, TUNISIA,36.83,10.23,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/79.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/79.xml
CAIRO, EGYPT,30.13,31.4,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/80.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/80.xml
CAPE TOWN, SOUTH AFRICA,-33.9,18.43,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/81.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/81.xml
JOHANNESBURG, SOUTH AFRICA,-26.15,28.23,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/82.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/82.xml
LAGOS, NIGERIA,6.58,3.33,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/83.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/83.xml
NEW DELHI, INDIA,28.58,77.2,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/84.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/84.xml
HONG KONG, CHINA,22.32,113.92,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/85.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/85.xml
SEOUL, SOUTH KOREA,37.57,126.97,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/86.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/86.xml
TOKYO, JAPAN,35.68,139.77,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/87.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/87.xml
BANGKOK, THAILAND,13.67,100.62,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/88.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/88.xml
SINGAPORE, SINGAPORE,1.37,103.98,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/89.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/89.xml
BEIJING, CHINA,39.93,116.28,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/90.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/90.xml
MANGALIA, ROMANIA,43.82,28.58,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/91.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/91.xml
PERTH, AUSTRALIA,-31.93,115.97,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/92.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/92.xml
SYDNEY, AUSTRALIA,-33.95,151.18,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/93.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/93.xml
MELBOURNE, AUSTRALIA,-37.82,144.97,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/94.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/94.xml
WELLINGTON, NEW ZEALAND,-41.33,174.8,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/95.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/95.xml
CHRISTCHURCH, NEW ZEALAND,-43.48,172.52,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/96.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/96.xml
DARWIN, AUSTRALIA,-12.42,130.88,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/97.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/97.xml
TORONTO, CANADA,43.67,-79.6,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/98.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/98.xml
MIAMI, UNITED STATES OF AMERICA,26.55,-78.7,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/99.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/99.xml
LOS ANGELES, UNITED STATES OF AMERICA,33.93,-118.4,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/100.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/100.xml
NEW YORK, UNITED STATES OF AMERICA,40.7,-74.17,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/101.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/101.xml
WASHINGTON, UNITED STATES OF AMERICA,38.85,-77.03,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/102.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/102.xml
KANSAS CITY, UNITED STATES OF AMERICA,39.28,-94.75,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/103.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/103.xml
DENVER, UNITED STATES OF AMERICA,39.87,-104.67,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/104.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/104.xml
SAN FRANCISCO, UNITED STATES OF AMERICA,37.62,-122.38,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/105.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/105.xml
BOSTON, UNITED STATES OF AMERICA,42.37,-71.03,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/106.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/106.xml
CHICAGO, UNITED STATES OF AMERICA,41.98,-87.9,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/107.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/107.xml
LAS VEGAS, UNITED STATES OF AMERICA,36.08,-115.17,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/108.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/108.xml
RIO DE JANEIRO, BRAZIL,-22.82,-43.25,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/109.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/109.xml
SANTIAGO, CHILE,-33.65,-71.62,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/110.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/110.xml
BUENOS AIRES, ARGENTINA,-34.57,-58.42,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/111.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/111.xml
CARACAS, VENEZUELA,10.5,-66.88,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/112.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/112.xml
LIMA, PERU,-12,-77.12,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/113.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/113.xml
ACCRA, GHANA,6.58,3.33,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/114.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/114.xml
AGADIR, MOROCCO,31.52,-9.78,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/115.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/115.xml
ALEXANDRIA, EGYPT,31.2,29.95,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/116.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/116.xml
ASCENSION, ASCENSION,-7.97,-14.4,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/117.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/117.xml
BENGHAZI, LIBYA,32.1,20.27,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/118.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/118.xml
DAKAR, SENEGAL,14.73,-17.5,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/119.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/119.xml
